Company Name,Domain Name,SwitchPitch Link,Hubspot Link,Track,Website,Short Description,Description,Stage,Total Raised,Founded,Revenue Range,Employees,Min Employees,Max Employees,City,State/Region,Country,Continent,Categories,LinkedIn,Twitter,Facebook,Features,Clients,Investors,Last Funding Date,Highlights
Rhizome,rhizomedata.com,https://app.switchpitch.com/startups/613311,https://app.hubspot.com/contacts/20173538/company/22929598064,CleanTech,https://www.rhizomedata.com,Rhizome is helping electric utilities assess and prevent climate-induced power grid failures.,"Rhizome's AI-powered climate platform helps utilities identify vulnerabilities from climate threats, quantify risk at high resolutions, and measure the benefits of grid-enhancing investments. At its core, we provide the highest standard of climate risk mitigation to ensure that communities and businesses are protected against intensifying extreme weather events.",Seed,10000000,2023,,1 - 10,1,10,Washington,District of Columbia,United States,North America,"Artificial Intelligence, Enterprise Software, Facilities Support Services, Infrastructure, Power Grid",https://www.linkedin.com/company/rhizomedata,https://twitter.com/RhizomeAI,,not available,VELCO,"Base10 Partners, CLAI Ventures, Convective Capital, El Cap, El Cap Holdings, Intelis Capital, Jetstream, Kindergarten Ventures, Looking Glass Capital, MCJ Collective, StepChange, Stepchange Ventures, Streetlife Ventures, The Fund",05/21/2025,not available
Rythmos,rhythmos.io,https://app.switchpitch.com/startups/677428,https://app.hubspot.com/contacts/20173538/company/15002885006,CleanTech,https://rhythmos.io,Rhythmos analyzes EV charging data to optimize energy use and support utilities in managing the transition to electric mobility.,"Rhythmos.io offers a platform that analyzes electric vehicle (EV) charging data to optimize energy use and support utilities in managing the transition to electric mobility. The company aids utilities, drivers, and automakers by minimizing infrastructure investments necessary for EV charging, facilitating a smoother shift to electric vehicles. Rhythmos plays a role in the transition to a decarbonized power grid by developing advanced technology that enhances the electric mobility ecosystem.",,170000,2022,,11 - 50,11,50,Boulder,Colorado,United States,North America,"Electric Vehicle, Energy Efficiency, Energy Storage",https://www.linkedin.com/company/rhythmosio,,,"### Features of Rhythmos.io

Rhythmos.io is a company specializing in smart energy management and predictive analytics, particularly for the electric vehicle (EV) and utility sectors. Here are the key features of their platform and services:

## Smart Energy Management
- Rhythmos.io provides a holistic understanding of all electrical use, enabling proactive management of constrained assets, deferral of infrastructure investments, and optimization of energy costs.

## Grid Optimization
- The company's platform, including the Rhythmos Algorithmic Optimization System (AOS) and CadencyEdgeAI℠, optimizes the entire grid ecosystem. This includes co-optimizing EV deployments, wholesale markets, bulk power generators, utility transmission and distribution systems, and individual EV owners to drive efficiencies and reduce grid impacts.

## EV Charging Optimization
- Rhythmos.io helps EV fleets and utilities manage their electricity usage more efficiently by analyzing daily electricity requirements, identifying operational flexibility, and coordinating charging needs against utility and market conditions. This can more than double EV charging capacity without costly infrastructure upgrades.

## Predictive Analytics
- The platform uses advanced machine learning and data analytics to forecast EV charging needs, quantify and model market demand, and leverage insights across the energy ecosystem. This includes integrating data from Advanced Metering Infrastructure (AMI) smart meters, SCADA, OMS, and GIS systems.

## Market and Grid Integration
- Rhythmos.io ties together EV fleet, utility, and market opportunities, enabling access to new revenue streams via emerging wholesale and grid service markets. It facilitates the matching of renewable generation to EV needs and resource aggregation for ancillary services.

## Cost Savings and Efficiency
- The platform helps utilities and EV fleet owners save money by optimizing energy costs, reducing the need for expensive infrastructure upgrades, and minimizing wholesale energy costs. For example, it is estimated that optimized EV charging could reduce distribution transformer upgrade costs by up to 60%.

## Stakeholder Benefits
- **EV Fleet Owners**: Rhythmos.io analytics help coordinate charging needs, extend fleet management capabilities, and prepare for future customer participation in energy markets.
- **Utilities**: The platform allows utilities to analyze EV charging information, identify grid constraints, and manage charging for each EV, reducing maintenance costs and time.
- **Municipalities**: Rhythmos.io helps municipalities manage EV charging demand effectively, reducing costs for the tax base, dependence on carbon assets, and helping meet ESG goals.
- **Market Aggregators**: The platform enables intelligent management of market demand, distribution, usage, and stakeholders across generation, transmission, and the grid edge.

## Partnership and Integration
- Rhythmos.io collaborates with various partners, including advisory firms, to provide asset optimization services and accelerate EV adoption. Their platform is designed to be easily integrated with existing enterprise applications and is less expensive than large-scale distributed energy resource management systems (DERMS).

## Pilot Programs and Case Studies
- The company has been involved in pilot programs, such as the one with the Michigan Economic Development Corporation and Consumers Energy, to demonstrate the effectiveness of their CadencyEdgeAI℠ platform in optimizing EV charging and reducing grid impacts.",Qmerit,"Michigan Economic Development Corporation, Proeza Ventures",03/19/2025,"Features of Rhythmos.io
Rhythmos.io is a company specializing in smart energy management and predictive analytics, particularly for the electric vehicle (EV) and utility sectors. Here are the key features of their platform and services:
Smart Energy Management

Rhythmos.io provides a holistic understanding of all electrical use, enabling proactive management of constrained assets, deferral of infrastructure investments, and optimization of energy costs.

Grid Optimization

The company's platform, including the Rhythmos Algorithmic Optimization System (AOS) and CadencyEdgeAI℠, optimizes the entire grid ecosystem. This includes co-optimizing EV deployments, wholesale markets, bulk power generators, utility transmission and distribution systems, and individual EV owners to drive efficiencies and reduce grid impacts.

EV Charging Optimization

Rhythmos.io helps EV fleets and utilities manage their electricity usage more efficiently by analyzing daily electricity requirements, identifying operational flexibility, and coordinating charging needs against utility and market conditions. This can more than double EV charging capacity without costly infrastructure upgrades.

Predictive Analytics

The platform uses advanced machine learning and data analytics to forecast EV charging needs, quantify and model market demand, and leverage insights across the energy ecosystem. This includes integrating data from Advanced Metering Infrastructure (AMI) smart meters, SCADA, OMS, and GIS systems.

Market and Grid Integration

Rhythmos.io ties together EV fleet, utility, and market opportunities, enabling access to new revenue streams via emerging wholesale and grid service markets. It facilitates the matching of renewable generation to EV needs and resource aggregation for ancillary services.

Cost Savings and Efficiency

The platform helps utilities and EV fleet owners save money by optimizing energy costs, reducing the need for expensive infrastructure upgrades, and minimizing wholesale energy costs. For example, it is estimated that optimized EV charging could reduce distribution transformer upgrade costs by up to 60%.

Stakeholder Benefits

EV Fleet Owners: Rhythmos.io analytics help coordinate charging needs, extend fleet management capabilities, and prepare for future customer participation in energy markets.
Utilities: The platform allows utilities to analyze EV charging information, identify grid constraints, and manage charging for each EV, reducing maintenance costs and time.
Municipalities: Rhythmos.io helps municipalities manage EV charging demand effectively, reducing costs for the tax base, dependence on carbon assets, and helping meet ESG goals.
Market Aggregators: The platform enables intelligent management of market demand, distribution, usage, and stakeholders across generation, transmission, and the grid edge.

Partnership and Integration

Rhythmos.io collaborates with various partners, including advisory firms, to provide asset optimization services and accelerate EV adoption. Their platform is designed to be easily integrated with existing enterprise applications and is less expensive than large-scale distributed energy resource management systems (DERMS).

Pilot Programs and Case Studies

The company has been involved in pilot programs, such as the one with the Michigan Economic Development Corporation and Consumers Energy, to demonstrate the effectiveness of their CadencyEdgeAI℠ platform in optimizing EV charging and reducing grid impacts."
Sunairo,unairio.com,,,CleanTech,,,,,,,,,,,,,,,,,,,,,,,
Texture,texturehq.com,https://app.switchpitch.com/startups/629874,https://app.hubspot.com/contacts/20173538/company/33600561160,CleanTech,http://texturehq.com,The industry cloud for distributed energy,"Texture aggregates data from devices, meters, markets and other signals, all into a single, easy-to-use platform so any company in the energy space can be data-driven.",Venture - Unspecified,7230078,2023,,11 - 50,11,50,New York,New York,United States,North America,"Cloud Data Services, Energy Management",https://www.linkedin.com/company/texturehq,https://twitter.com/texturehq,,"- Texture-based image retrieval for content-based image retrieval (CBIR) applications
- Utilizes texture features extracted in the spatial-frequency domain
- Features focus on repeating patterns and structural organization of pixel intensities in textures
- Extraction of features using image transforms such as discrete wavelet transform (DWT), Gabor wavelet transform, and dual-tree complex wavelet transform
- Analysis of sub-band marginal distributions and strong inter-scale and inter-orientation dependencies of wavelet coefficients
- Features presented in the form of a covariance matrix containing WD-HMM model parameters
- Robustness in texture classification and segmentation, even in the presence of complex textures and varying lighting conditions","ARPANET, Olivia von Halle, Pragnell",,12/19/2023,"Texture-based image retrieval for content-based image retrieval (CBIR) applications
Utilizes texture features extracted in the spatial-frequency domain
Features focus on repeating patterns and structural organization of pixel intensities in textures
Extraction of features using image transforms such as discrete wavelet transform (DWT), Gabor wavelet transform, and dual-tree complex wavelet transform
Analysis of sub-band marginal distributions and strong inter-scale and inter-orientation dependencies of wavelet coefficients
Features presented in the form of a covariance matrix containing WD-HMM model parameters
Robustness in texture classification and segmentation, even in the presence of complex textures and varying lighting conditions"
Tyba,tyba.ai,https://app.switchpitch.com/startups/610770,https://app.hubspot.com/contacts/20173538/company/33621751878,CleanTech,https://www.tyba.ai/,"Tyba is a modeling platform for developing, financing, operating solar and storage projects.","Tyba provides end-to-end modeling of standalone and hybrid storage projects from early-stage development through operations, giving your business the edge to build and operate the best projects faster and more profitably.",Series A,16150000,2020,$1M to $10M,11 - 50,11,50,San Francisco,California,United States,North America,"Energy Storage, Software, Solar",https://www.linkedin.com/company/tybaenergy/,,,"- End-to-end modeling
- Price predictions
- Dispatch and bidding model
- Markets coverage
- Integrations",,"Virta Ventures, Borusan Ventures, Energize Ventures, Lorimer Ventures, Market 1 Capital, Mobilize Climate Capital, Pear VC, Powerhouse Ventures, Wireframe Ventures",02/06/2025,"End-to-end modeling
Price predictions
Dispatch and bidding model
Markets coverage
Integrations"
Abtrace,abtrace.com,,https://app.hubspot.com/contacts/20173538/company/33612097703,HealthTech,,,,,,,,,,,,,,,,,,,,,,,
Arficus,arficus.com,,https://app.hubspot.com/contacts/20173538/company/33625622391,HealthTech,,,,,,,,,,,,,,,,,,,,,,,
C The Signs,cthesigns.com,https://app.switchpitch.com/startups/576791,https://app.hubspot.com/contacts/20173538/company/33611632174,HealthTech,http://www.cthesigns.com,"C the Signs gives GPs the ability to simultaneously check combinations of signs, symptoms and risk factors, in an easy to use format. ","C the Signs gives GPs the ability to simultaneously check combinations of signs, symptoms and risk factors, in an easy to use format. It can be used during the consultation, when the opportunity to influence decision-making is at its greatest. Covering the entire spectrum of Cancer and cross-referencing multiple diagnostic pathways, C the signs can support GPs in recommending what investigations or urgent referrals the patient may need, in under 30 seconds.",Venture - Unspecified,16084314,2017,$1M to $10M,11 - 50,11,50,London,England,United Kingdom,Europe,"Health Care, Hospitality",https://www.linkedin.com/company/18141969/,https://twitter.com/cthesignstool,https://www.facebook.com/profile.php?id=100095056045793,"- Evidence-driven AI platform founded by doctors
- Covers all cancers
- Systematic approach to stratify patients based on cancer risk
- Uses signs, symptoms, risk factors, and clinical markers
- Utilizes Bayesian model with optimization and prioritization systems
- Indicates cancer risk and necessary tests in under 30 seconds
- Adapts algorithms to local population for more accurate detection
- Supports better understanding of tumor burden and diagnostics
- Used by doctors for early cancer detection
- Can be used for face-to-face or remote risk assessment
- Currently used in over 1000 NHS primary care practices","EMIS web, GP practices, Medical education and training centers, Patients at risk of cancer, SystmOne, Vision","Khosla Ventures, Acequia Capital (Acecap), Ataraxia, CancerX Startup Accelerator, MMC Ventures, Pitch@Palace, SBRI Healthcare",01/30/2025,"Evidence-driven AI platform founded by doctors
Covers all cancers
Systematic approach to stratify patients based on cancer risk
Uses signs, symptoms, risk factors, and clinical markers
Utilizes Bayesian model with optimization and prioritization systems
Indicates cancer risk and necessary tests in under 30 seconds
Adapts algorithms to local population for more accurate detection
Supports better understanding of tumor burden and diagnostics
Used by doctors for early cancer detection
Can be used for face-to-face or remote risk assessment
Currently used in over 1000 NHS primary care practices"
Floy,en.floy.com,,https://app.hubspot.com/contacts/20173538/company/33621132339,HealthTech,,,,,,,,,,,,,,,,,,,,,,,
Intus Biosciences,intusbio.com,,https://app.hubspot.com/contacts/20173538/company/33604835125,HealthTech,,,,,,,,,,,,,,,,,,,,,,,
Lifespin,lifespin.health,https://app.switchpitch.com/startups/577089,https://app.hubspot.com/contacts/20173538/company/33605454645,HealthTech,https://lifespin.health/,Lifespin is a deep data company that maps the metabolic profiles of human health.,"Lifespin is a deep data company that maps the metabolic profiles of human health. It is developing a groundbreaking, automated, highly scalable, and cost-effective next-generation health diagnostics platform that utilizes artificial intelligence and machine learning to analyze metabolic data from patient samples. The company combines biology, deep data, artificial intelligence, and cloud technologies to enable digital metabolic insights for precision diagnostics and personalized disease management. Lifespin's platform is designed to detect deviations in metabolism caused by diseases and is aimed at advancing personalized medicine and supporting drug discovery. The company has a significant database of health profiles in oncology and has launched its first commercial product, Lifespin LAAP, which analyzes variations in patients' metabolism to provide clinicians with deep insights into patients' health and wellbeing. Lifespin operates under the domain 'lifespin.health' and has offices in Regensburg, Germany, and Boston, Massachusetts.",,,,,,,,,,,,,,,,"- Company: Lifespin Health
- Domain: lifespin.health
- Technology and services for profiling blood samples using NMR spectroscopy
- Offers GlycA and GlycB data using proprietary deconvolution algorithms
- Measurements valuable for predicting and understanding risk of cardiovascular events",,,,"Company: Lifespin Health
Domain: lifespin.health
Technology and services for profiling blood samples using NMR spectroscopy
Offers GlycA and GlycB data using proprietary deconvolution algorithms
Measurements valuable for predicting and understanding risk of cardiovascular events"
Lilli,intelligentlilli.com,https://app.switchpitch.com/startups/464503,https://app.hubspot.com/contacts/20173538/company/33616733852,HealthTech,http://intelligentlilli.com,Lilli is a UK-based SaaS company that uses machine learning to revolutionize home care.,Lilli is a UK-based SaaS company that uses machine learning to revolutionize home care.,Series A,16614574,2014,$1M to $10M,11 - 50,11,50,Woking,Surrey,United Kingdom,Europe,"Home Health Care, Machine Learning, SaaS",https://www.linkedin.com/company/intelligentlilli/,https://twitter.com/LilliSays,https://www.facebook.com/intelligentlilli,"- Utilizes machine learning technology
- Monitors behaviors and activities of daily life with discrete sensors
- Proactive care model to identify abnormalities and changes in condition
- Cloud-based platform for remote care
- Shifts from reactive, alarm-based approach to preventive methodology
- Aims to prolong service-user independence and reduce need for complex treatment or residential care
- Looking to expand offerings to more housing associations
- Plans to extend reach into Europe and the United States
- Committed to reducing strain on informal carers and health and social care providers
- Integrating with wearables and connected home devices for future developments","Commissioners of health and social care services, Family members and loved ones, Health and social care practitioners, Housing and property owners or managers, ICB, Kyndi, Lilli, Medway, Providers of health and social care services",West Hill Capital,02/08/2024,"Utilizes machine learning technology
Monitors behaviors and activities of daily life with discrete sensors
Proactive care model to identify abnormalities and changes in condition
Cloud-based platform for remote care
Shifts from reactive, alarm-based approach to preventive methodology
Aims to prolong service-user independence and reduce need for complex treatment or residential care
Looking to expand offerings to more housing associations
Plans to extend reach into Europe and the United States
Committed to reducing strain on informal carers and health and social care providers
Integrating with wearables and connected home devices for future developments"
Maverick,maverick-ai.com,,https://app.hubspot.com/contacts/20173538/company/9858792111,HealthTech,,,,,,,,,,,,,,,,,,,,,,,
Omzey,omzey.com,https://app.switchpitch.com/startups/646431,https://app.hubspot.com/contacts/20173538/company/25481233684,HealthTech,https://www.omzey.com,Digital biotech startup offers an ecosystem of AI-powered solutions for genetic analysis and clinical decision support for rare diseases,"Rome-based healthtech startup that offers an ecosystem of AI-powered solutions for genetic analysis and clinical decision support for diseases. GenomeUp's mission is to be a global reference platform to support clinical decision-making for hospitals, laboratories, research centers, and pharmaceuticals to accelerate diagnosis times, improve patient care and provide knowledge for health prevention, all in less than 24h. Based on these assumptions, the founders decided to evolve the startup and transform it into a Italian Benefit Corporation following the purpose of common benefit by acting responsibly, sustainably and transparently towards stakeholders, people, communities, the territory and the environment.",Venture - Unspecified,8852206,2017,$1M to $10M,11 - 50,11,50,Bari,Puglia,Italy,Europe,"Artificial Intelligence, Biotechnology, Genetics, Health Care, Medical",https://www.linkedin.com/company/genomeup/,,,"# Company Features

1. **JuliaOmix™ Suite**: This is a groundbreaking solution designed to support the complexity of genetics laboratory workflows.
2. **Digital Transformation**: It offers a smart, in-cloud solution for the digital transformation of genetic clinical decisions.
3. **Scalability**: The platform is infinitely scalable, spanning the entire genomic analysis cycle from request to report in a few days.
4. **Process Digitization**: JuliaOmix™ digitizes, manages, and optimizes laboratory processes and information flow.
5. **Compliance**: The platform ensures compliance throughout the analysis process.
6. **Ease of Use**: It simplifies complex genetic clinical decisions and streamlines the diagnosis process.",,"CDP Venture Capital, Lumen Ventures, LVenture Group, a|impact, Berkeley SkyDeck, Finalca, GCM Group, Italian Angels for Growth, Lazio Innova, Opes Italia, Padda Health, Scientifica Venture Capital, The Techshop",04/02/2025,"Company Features

JuliaOmix™ Suite: This is a groundbreaking solution designed to support the complexity of genetics laboratory workflows.
Digital Transformation: It offers a smart, in-cloud solution for the digital transformation of genetic clinical decisions.
Scalability: The platform is infinitely scalable, spanning the entire genomic analysis cycle from request to report in a few days.
Process Digitization: JuliaOmix™ digitizes, manages, and optimizes laboratory processes and information flow.
Compliance: The platform ensures compliance throughout the analysis process.
Ease of Use: It simplifies complex genetic clinical decisions and streamlines the diagnosis process."
Optain,optainhealth.com,https://app.switchpitch.com/startups/602371,https://app.hubspot.com/contacts/20173538/company/20794331041,HealthTech,https://www.optainhealth.com,Optain is a manufacturer of medical equipment and software.,"Optain is a manufacturer of medical equipment and software. Optain is to make healthcare available to all people so that all can live healthy lives. Optain uses AI to create affordable clinical assistance solutions that make illness screening simple, anytime, and anywhere.",Seed,12000000,2023,$1M to $10M,11 - 50,11,50,New City,New York,United States,North America,"Health Care, Hospital, Medical, Medical Device",https://www.linkedin.com/company/optainhealth,,,"- Eyetelligence Assure and Eyetelligence Assure+ are AI-enabled software solutions for eye disease screening.
- Eyetelligence Assure uses clinically validated AI algorithms to analyze digital retinal images for the detection of various eye diseases and screening for cardiovascular disease risks.
- Eyetelligence Assure integrates seamlessly with most fundus cameras and connected PCs.
- Eyetelligence Assure+ expands on the capabilities of Eyetelligence Assure by adding cardiovascular assessment through the analysis of the microvasculature within retinal images.
- Optain's technology is backed by research published in leading academic journals and peer-reviewed by experts in AI, ophthalmology, and retinal imaging.
- Optain's products are classified as Class 1 medical devices, registered with the Australian TGA, and carry European CE Marking, conforming to performance and safety standards in over 30 countries across the EU and Australasia.
- Optain is committed to ensuring patient data security through stringent access controls and de-identifying fundus images used in AI training in line with the Safe Harbour Data Method.",Northwell Health,"Aegis Ventures, Northwell Holdings",05/09/2023,"Eyetelligence Assure and Eyetelligence Assure+ are AI-enabled software solutions for eye disease screening.
Eyetelligence Assure uses clinically validated AI algorithms to analyze digital retinal images for the detection of various eye diseases and screening for cardiovascular disease risks.
Eyetelligence Assure integrates seamlessly with most fundus cameras and connected PCs.
Eyetelligence Assure+ expands on the capabilities of Eyetelligence Assure by adding cardiovascular assessment through the analysis of the microvasculature within retinal images.
Optain's technology is backed by research published in leading academic journals and peer-reviewed by experts in AI, ophthalmology, and retinal imaging.
Optain's products are classified as Class 1 medical devices, registered with the Australian TGA, and carry European CE Marking, conforming to performance and safety standards in over 30 countries across the EU and Australasia.
Optain is committed to ensuring patient data security through stringent access controls and de-identifying fundus images used in AI training in line with the Safe Harbour Data Method."
Ovum,ovum-ai.com.au,,https://app.hubspot.com/contacts/20173538/company/33622835496,HealthTech,,,,,,,,,,,,,,,,,,,,,,,
Predictably Human,predictablyhuman.com,,https://app.hubspot.com/contacts/20173538/company/33605608972,HealthTech,,,,,,,,,,,,,,,,,,,,,,,
PrescribeFIT,prescribefit.com,,https://app.hubspot.com/contacts/20173538/company/33627007889,HealthTech,,,,,,,,,,,,,,,,,,,,,,,
Raidium,raidium.eu,https://app.switchpitch.com/startups/594630,https://app.hubspot.com/contacts/20173538/company/33627317118,HealthTech,http://raidium.eu,Radiology augmented GPT to tackle the complexity of precision medicine,"Raidium is a Medtech startup that is developing the first-ever radiological foundation model,  as the “GPT-4” of radiology. This new generation of AI will enable the building of an imaging biomarker factory for both clinical practice and research,  to tackle the complexity of precision medicine.",Seed,19620963,2022,,11 - 50,11,50,,,,,"Artificial Intelligence, Clinical Trials, Computer Vision, Health Care, Machine Learning, Pharmaceutical, Precision Medicine",https://www.linkedin.com/company/raidium/?viewAsMember=true,https://twitter.com/raidium_med,,"- Naturally occurring silvery-white radioactive metal
- Luminescent
- Corrodes in water to form radium hydroxide
- Oxidizes on exposure to air
- Previously used in luminous paint, medical treatments, toothpaste, and hair creams
- Currently used in the production of radon gas for cancer treatment
- Used as a source of alpha particles in nuclear physics research
- Decays to radon, releasing alpha particles
- Classified as an alkaline earth metal
- Highly radioactive, emits alpha and gamma radiation
- Can cause skin burns and fatal diseases with prolonged exposure
- Requires careful handling and storage in lead-lined boxes","MVA, Radium Agency, Radium Manufacturing, Weitz & Luxenberg","Founders Future, Kurma Partners, Debiopharm Group, EIC Accelerator, European Innovation Council and SMEs Executive Agency, Galion.exe, Newfund, Techmind",11/28/2024,"Naturally occurring silvery-white radioactive metal
Luminescent
Corrodes in water to form radium hydroxide
Oxidizes on exposure to air
Previously used in luminous paint, medical treatments, toothpaste, and hair creams
Currently used in the production of radon gas for cancer treatment
Used as a source of alpha particles in nuclear physics research
Decays to radon, releasing alpha particles
Classified as an alkaline earth metal
Highly radioactive, emits alpha and gamma radiation
Can cause skin burns and fatal diseases with prolonged exposure
Requires careful handling and storage in lead-lined boxes"
Simbiosys,simbiosys.com,https://app.switchpitch.com/startups/308676,https://app.hubspot.com/contacts/20173538/company/33607931515,HealthTech,https://www.simbiosys.com/,SimBioSys is developing a Computational Microscope to provide new insight into the behavior of cancers.,"SimBioSys is developing a Computational Microscope that integrates state-of-the-art simulation techniques with a diverse set of experimental datasets to provide new insight into the behavior of cancers. The technology allows researchers to peer into the cancer microenvironment to identify the behavior of tumors: the cell phenotypes, how they interact with surrounding tissues, and how they prime their neighbors for invasion, all from the comfort of their computer desk.",Series A,15000000,2016,$1M to $10M,11 - 50,11,50,Champaign,Illinois,United States,North America,"Biotechnology, Life Science, Pharmaceutical",https://www.linkedin.com/company/simbiosys-inc/,https://twitter.com/simbiosysinc?lang=en,,"- TumorSight Viz, a cloud-based tool for transforming 2D DCE MRIs into interactive 3D representations
- PhenoScope technology for analyzing multi-modal data and generating novel insights
- Partnership with General Inception and Magic Leap for integrating AI-powered TumorSight Viz with AR technology
- Over 40 employees and partnerships with notable institutions like Mayo Clinic, City of Hope, Cleveland Clinic, Cedars Sinai, and University of Chicago Medicine
- Supported by premier healthtech venture capital firms and globally recognized health systems","ACD/Labs, AMD, AT & T, Black Cat Engineering and Construction, Cambridge Systems, Computer Sciences Corporation, Fidelity National Information Services, Google, Kentz, Larsen & Toubro (L & T), Magic Leap, Optum, Qualio, Success Magazine, Technip, Tekcenture, The Reliance Group, Trimble","Mayo Clinic, AV8 Ventures, Genoa Ventures, Heritage Group, Northpond Ventures",10/26/2021,"TumorSight Viz, a cloud-based tool for transforming 2D DCE MRIs into interactive 3D representations
PhenoScope technology for analyzing multi-modal data and generating novel insights
Partnership with General Inception and Magic Leap for integrating AI-powered TumorSight Viz with AR technology
Over 40 employees and partnerships with notable institutions like Mayo Clinic, City of Hope, Cleveland Clinic, Cedars Sinai, and University of Chicago Medicine
Supported by premier healthtech venture capital firms and globally recognized health systems"
Sonus Microsystems,sonusmicrosystems.com,https://app.switchpitch.com/startups/498363,,HealthTech,http://sonusmicrosystems.com,Sonus Microsystems is a polymer-based ultrasound transducer technology firm.,"Sonus Microsystems is a  type of ultrasound transducer made from polymer materials. They provide fully customizable linear and matrix array transducers for consumer ultrasound applications. The technology, with its size, flexibility, and customizability, enables applications not previously possible with traditional piezoelectric or silicon-based ultrasound transducers.",Angel,2100000,2019,$1M to $10M,11 - 50,11,50,Vancouver,British Columbia,Canada,North America,Nanotechnology,http://linkedin.com/company/sonus-microsystems,https://twitter.com/SonusMicro_Inc,https://www.facebook.com/sonus.micro.5,"- Leading company in ultrasound technology field
- Specializes in high-performance, customizable, and versatile ultrasound transducers
- Products powered by PolyCMUT cells for novel applications in healthcare, NDT, and wearables
- Mission to revolutionize ultrasound imaging, screening, and monitoring
- PolyCMUT technology offers vast parameter space for optimization
- Enables fast prototyping, expedited time-to-production, and reduced R&D costs
- Transducers tailored for disposable and miniature, flexible wearable, and large matrix array use cases
- Novel matrix technology for AI-powered patches for automated ultrasound scanning
- Strong commitment to advancing ultrasound technology for diverse applications
- Proprietary agile prototyping and development process for fast iterations and affordable R&D costs",UBC,"Creative Destruction Lab (CDL), University of British Columbia, Entrepreneurship@UBC, Hatch Ventures, LDV Capital",02/26/2024,"Leading company in ultrasound technology field
Specializes in high-performance, customizable, and versatile ultrasound transducers
Products powered by PolyCMUT cells for novel applications in healthcare, NDT, and wearables
Mission to revolutionize ultrasound imaging, screening, and monitoring
PolyCMUT technology offers vast parameter space for optimization
Enables fast prototyping, expedited time-to-production, and reduced R&amp;D costs
Transducers tailored for disposable and miniature, flexible wearable, and large matrix array use cases
Novel matrix technology for AI-powered patches for automated ultrasound scanning
Strong commitment to advancing ultrasound technology for diverse applications
Proprietary agile prototyping and development process for fast iterations and affordable R&amp;D costs"
Ziwig,ziwig.com,https://app.switchpitch.com/startups/523452,https://app.hubspot.com/contacts/20173538/company/33623299444,HealthTech,http://ziwig.com,"Ziwig provides endotest, endocoach, and endoconnect services to improve women's health.","Ziwig helps to improve women's health through a holistic approach and the development of products, services, and a support ecosystem, guided by science and unique biology. of each person. Their approach, constantly supported by excellent research, is based on the close collaboration of medical experts and engineers specializing in cutting-edge technologies, such as artificial intelligence and high-throughput sequencing of human RNAs. Their ecosystem functioning, driven by meaning and centered on the person, using disruptive technologies contributes to the emergence of precision medicine, individualized, predictive and participatory, at the service of well-being and quality of life.",Angel,0,2020,,11 - 50,11,50,Lyon,Rhone-Alpes,France,Europe,"Fertility, Health Care, Wellness, Women's",https://www.linkedin.com/company/ziwig-health,https://twitter.com/ziwigfrance,https://www.facebook.com/ZiwigFrance,"- Non-invasive diagnostic tool
- Intended for patients between 18 and 43 years old
- Prescription-use only
- Limitations
- Reliable and rapid diagnosis
- Saliva collection","Illumina, QIAGEN, Soci",Sebastien Breteau,12/01/2022,"Non-invasive diagnostic tool
Intended for patients between 18 and 43 years old
Prescription-use only
Limitations
Reliable and rapid diagnosis
Saliva collection"
Camcorder AI,get.camcorder.ai,,https://app.hubspot.com/contacts/20173538/company/33526345550,Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,
Verdigris,verdigris.co,,https://app.hubspot.com/contacts/20173538/company/7174554735,CleanTech,,,,,,,,,,,,,,,,,,,,,,,
